author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
3194533177,sunatoshi_,2021-09-29 23:59:50+00:00,en,0,0,0,0,Twitter for iPhone,Lonnie Smith - For The Love Of It 1977 https://t.co/b2eDmPHOfT @YouTubeより, 
22751329,NatBullard,2021-09-29 23:59:20+00:00,en,1,0,0,0,Twitter Web App,@VelvetBarstool @conorsen yeah cool but who got the Raffy Belliard jersey? Or the Lonnie Smith? Or the Lemmer?!, 
947038482,HipHopPlaza1,2021-09-29 23:55:03+00:00,en,0,0,0,0,dlvr.it,"Lonnie Smith, Soulful Jazz Organist, Is Dead at 79 - The New York Times https://t.co/MCBj5g6xUC", 
20395811,AGRIMMONE,2021-09-29 23:52:23+00:00,en,0,0,0,0,Twitter for Android,Rest in peace Dr. Lonnie Smith.  https://t.co/tmMmzIJLh5, 
104305243,jazzfanman,2021-09-29 23:50:28+00:00,en,0,0,1,1,Twitter Web App,"Dr. Lonnie Smith, an NEA Jazz Master known for his dynamism and wizardry on the Hammond B3 organ, died Tuesday. He was 79 years old.
https://t.co/t6U20j5hnV", 
1118633294906712064,BEXXXIEEEY,2021-09-29 23:49:57+00:00,en,0,0,0,0,Twitter for iPhone,"RIP LONNIE SMITH I LOVED VISIONS OF A NEW WORLD 

i wish I was old enough to have seen you live :(", 
812609246626017280,oppolse775,2021-09-29 23:48:59+00:00,en,0,0,0,0,IFTTT,"Lonnie Smith, Soulful Jazz Organist, Is Dead at 79 https://t.co/uRp35zlss0", 
87541933,deshkchaggar,2021-09-29 23:48:27+00:00,en,0,0,0,0,Twitter for iPhone,RIP Dr Lonnie Smith https://t.co/OIi4cfIAC8, 
855632749905891328,smilinandy,2021-09-29 23:46:53+00:00,en,0,0,0,0,Twitter Web App,dr. lonnie smith - Mellow Mood https://t.co/F7QP89aT6w via @YouTube, 
1169247647300911107,Kisaragi053,2021-09-29 23:45:52+00:00,in,0,0,1,0,Twitter Web App,@FaaatSaw WHATT???? LONNIE SMITH MENINGGAL?? Padahal lagunya enak banget apalagi yang it's changed, 
855632749905891328,smilinandy,2021-09-29 23:43:04+00:00,en,6,0,0,1,Twitter Web App,"Damn. 😢

Dr. Lonnie Smith, Master Of The Hammond Organ, Dies At 79 https://t.co/VNeQgyF5xT", 
38596426,BeatsandRants,2021-09-29 23:41:33+00:00,en,2,0,0,2,Twitter Web App,"Rest In Harmony, Dr. Lonnie Smith. And thank you. 🙏🏿🕊️ https://t.co/KA5gZ1cNIJ", 
22444966,kennyfresh,2021-09-29 23:38:04+00:00,en,34,0,0,7,Twitter Web App,"in the last week alone, we've lost...

Melvin Van Peebles
Pee Wee Ellis
Andrea Martin
Dr. Lonnie Smith

smh", 
62046607,MrMarinKnows,2021-09-29 23:36:17+00:00,en,1,0,0,0,Twitter for iPhone,I just finished the longest call explaining how and why Dr. Lonnie Smith and Lonnie Liston Smith are two different people., 
295426007,ctownchick1,2021-09-29 23:35:47+00:00,en,0,0,0,0,Twitter Web App,"Dr. Lonnie Smith, Master Of The Hammond Organ, Dies At 79 https://t.co/lvCAORMa9E", 
1379962205614006277,BeardcodeO,2021-09-29 23:33:40+00:00,pt,11,0,3,0,Twitter Web App,Morreu ontem o teclista Lonnie Smith https://t.co/0XnliBRvOc, 
1447029907,Blooms_Ghost,2021-09-29 23:33:21+00:00,en,0,0,0,0,Twitter for Android,"RIP Dr Lonnie Smith.

https://t.co/uhjzAGVqFP", 
855306806054109184,msnotkg,2021-09-29 23:31:54+00:00,ja,2,0,0,0,Twitter Web App,"🎞️少し前にこんな動画があったのを思い出した

https://t.co/YdiMf9pwnr 

https://t.co/AJ73oOQJGu via 

試し弾きのような🎹

＃ロニー・スミス
Dr. Lonnie Smith　R.i.P.",ロニー・スミス
1183146540,AcmeJazzGarage,2021-09-29 23:30:38+00:00,en,5,0,1,1,Twitter for iPhone,"Sad loss of another great: @DrLonnieSmith2 was a B3 organ jazz master who had many career rebirths, lately gaining favor among the jamband crowd for his bluesy, groove-oriented music. We frequently play his tunes “Norleans,” “Play It Back” and “Backtrack.” https://t.co/jlSdjMGok4", 
71335916,tld_8109,2021-09-29 23:30:38+00:00,ja,0,0,0,0,NPbot,Dr.ロニーが飛び入りした1992年 次郎吉の梅津・吾妻セッション #nowplaying Slouchin' - The Jazz Funk Masters featuring Lonnie Smith - Live Jam! 🎹 https://t.co/s9lcc1tBth,nowplaying
1941996548,dawallabeechamp,2021-09-29 23:28:03+00:00,en,1,1,0,0,Twitter for Android,@djkevincole listening to you play Dr. Lonnie Smith's 'Spinning Wheel' and realizing A Tribe Called Quest sampled part of it in 'Can I Kick It.' Why am I only learning this today! May he RIP., 
72902074,rosti_rastelli,2021-09-29 23:27:48+00:00,en,1,0,0,1,Twitter Web App,Dr. Lonnie Smith - Why Can't We Live Together (Feat. Iggy Pop) https://t.co/yCgxPcrlJs via @YouTube, 
133035340,digitaleflaneur,2021-09-29 23:27:06+00:00,de,1,0,1,0,Twitter for Android,"Ach Mann, 2021 nimmt sich echt nur die Besten. Mit den Titen dieses Jahres könnte man eine sooooo übertriebene Supergroup aufmachen. Gift of Gap &amp; Zion I stylen auf einem  Orgelparts von Dr. Lonnie Smith. Wäre nice! #RIP Mr. Smith aka The Hammond Beast https://t.co/G1N7OljHUt",RIP
20822773,rcaddy27,2021-09-29 23:24:11+00:00,en,1,0,0,0,Twitter Web App,RIP Dr. Lonnie Smith https://t.co/a6GmlY8yzh, 
1199579625552134144,ImRiverKelly,2021-09-29 23:24:10+00:00,en,1,0,0,0,Twitter for Android,"Dr. Lonnie Smith just died, fuck", 
1371881866937171969,HanlireCom,2021-09-29 23:22:26+00:00,en,0,0,0,0,WordPress.com,"Lonnie Smith, Soulful Jazz Organist, Is Dead at 79 https://t.co/eMYB1c0vxa", 
826913607921176576,KEXPNowPlaying,2021-09-29 23:21:23+00:00,en,1,0,0,0,KEXP Playlist 2017,Dr. Lonnie Smith - Spinning Wheel - Drives (1970), 
2903144666,aa_designz,2021-09-29 23:19:31+00:00,en,0,0,0,0,IFTTT,"""Lonnie Smith, Soulful Jazz Organist, Is Dead at 79"" by BY PETER KEEPNEWS via NYT https://t.co/lIGTqUmtWf", 
826913607921176576,KEXPNowPlaying,2021-09-29 23:19:22+00:00,en,0,0,0,0,KEXP Playlist 2017,Dr. Lonnie Smith - Spinning Wheel, 
369455867,EEKKBB,2021-09-29 23:19:07+00:00,en,1,0,0,0,Twitter Web App,"Lonnie Smith, jazz organ giant, RIP https://t.co/yoiQ3WrrzQ", 
